DEBUG-__init__-59:Using selector: KqueueSelector
DEBUG-on_building_construction_complete-157:Hatchery has completed.
DEBUG-on_building_construction_complete-157:Extractor has completed.
DEBUG-on_building_construction_complete-157:Extractor has completed.
DEBUG-on_building_construction_complete-157:SpawningPool has completed.
06-Dec-20 12:31:04format= - DEBUG - __init__ - ln: 59: Using selector: KqueueSelector
06-Dec-20 12:31:43format= - DEBUG - on_building_construction_complete - ln: 157: Hatchery has completed.
06-Dec-20 12:32:29format= - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-Dec-20 12:32:35format= - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-12-20 12:37:38 - DEBUG - __init__ - ln: 59: Using selector: KqueueSelector
06-12-20 12:38:21 - DEBUG - on_building_construction_complete - ln: 157: Hatchery has completed.
06-12-20 12:39:24 - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
18-12-20 16:41:08 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:13 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:15 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:41:16 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:41:16 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:41:22 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:22 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:25 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:25 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:41:26 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:27 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:41:28 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:32 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:32 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:41:35 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:35 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:41:36 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:36 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:37 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:38 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:39 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:43 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:41:43 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:41:44 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:47 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:48 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:48 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
